disease,temp,weakness,vomiting,age,risk
Dengue,VeryHigh,Severe,Yes,Adult,Emergency
Dengue,High,Moderate,Yes,Child,Emergency
Dengue,High,Mild,No,Adult,Moderate
Malaria,High,Severe,Yes,Child,Emergency
Malaria,High,Moderate,No,Adult,Moderate
Malaria,Moderate,Mild,No,Adult,Mild
Cold,Low,None,No,Adult,Mild
Cold,Moderate,Mild,No,Child,Mild
Cold,High,Moderate,No,Adult,Moderate
Typhoid,High,Severe,Yes,Elderly,Emergency
Typhoid,High,Moderate,No,Adult,Moderate
Typhoid,Moderate,Mild,No,Adult,Mild
ViralFever,Moderate,Mild,No,Adult,Mild
ViralFever,High,Moderate,No,Child,Moderate
ViralFever,VeryHigh,Severe,Yes,Elderly,Emergency
Gastroenteritis,Moderate,Moderate,Yes,Child,Moderate
Gastroenteritis,High,Severe,Yes,Elderly,Emergency
Gastroenteritis,Moderate,Mild,No,Adult,Mild
Dengue,VeryHigh,Severe,Yes,Elderly,Emergency
Malaria,VeryHigh,Severe,Yes,Adult,Emergency
